PREFIX,FIRST,MIDDLE,LAST,SUFFIX,ADDRESS,CITY,STATE,POSTAL CODE,113 ST/DIS,BIOGUIDE ID
The Honorable ,Adam,,Smith,,2264 Rayburn House Office Building,Washington,DC,20515-4709,WA09,S000510
The Honorable ,Adrian,,Smith,,2241 Rayburn House Office Building,Washington,DC,20515-2703,NE03,S001172
The Honorable ,Christopher,H.,Smith,,2373 Rayburn House Office Building,Washington,DC,20515-3004,NJ04,S000522
The Honorable ,Lamar,,Smith,,2409 Rayburn House Office Building,Washington,DC,20515-4321,TX21,S000583
The Honorable ,Steve,,Southerland,II,1229 Longworth House Office Building,Washington,DC,20515-0902,FL02,S001186
The Honorable ,Jackie,,Speier,,211 Cannon House Office Building,Washington,DC,20515-0512,CA14,S001175
Representative-elect,Chris,,Stewart,,323 Cannon House Office Building,Washington,DC,20515-0924,UT02,S001192
The Honorable ,Steve,,Stivers,,1022 Longworth House Office Building,Washington,DC,20515-3515,OH15,S001187
The Honorable ,Steve,,Stockman,,326 Cannon House Office Building,Washington,DC,20515-6601,TX36,S000937
The Honorable ,Marlin,A.,Stutzman,,1728 Longworth House Office Building,Washington,DC,20515-1403,IN03,S001188
Representative-elect,Eric,,Swalwell,,501 Cannon House Office Building,Washington,DC,20515-3604,CA15,S001193
Representative-elect,Mark,,Takano,,1507 Longworth House Office Building,Washington,DC,20515-4328,CA41,T000472
The Honorable ,Lee,,Terry,,2266 Rayburn House Office Building,Washington,DC,20515-2702,NE02,T000459
The Honorable ,Bennie,G.,Thompson,,2466 Rayburn House Office Building,Washington,DC,20515-2402,MS02,T000193
The Honorable ,Glenn,,Thompson,,124 Cannon House Office Building,Washington,DC,20515-3805,PA05,T000467
The Honorable ,Mike,,Thompson,,231 Cannon House Office Building,Washington,DC,20515-0501,CA05,T000460
The Honorable ,Mac,,Thornberry,,2329 Rayburn House Office Building,Washington,DC,20515-4313,TX13,T000238
The Honorable ,Patrick,J.,Tiberi,,106 Cannon House Office Building,Washington,DC,20515-3512,OH12,T000462
The Honorable ,John,F.,Tierney,,2238 Rayburn House Office Building,Washington,DC,20515-2106,MA06,T000266
The Honorable ,Scott,R.,Tipton,,218 Cannon House Office Building,Washington,DC,20515-0603,CO03,T000470
The Honorable ,Dina,,Titus,,401 Cannon House Office Building,Washington,DC,20515-2801,NV01,T000468
The Honorable ,Paul,,Tonko,,2463 Rayburn House Office Building,Washington,DC,20515-3221,NY20,T000469
The Honorable ,Niki,,Tsongas,,1607 Longworth House Office Building,Washington,DC,20515-2105,MA03,T000465
The Honorable ,Michael,R.,Turner,,2239 Rayburn House Office Building,Washington,DC,20515-3503,OH10,T000463
The Honorable ,Fred,,Upton,,2183 Rayburn House Office Building,Washington,DC,20515-2206,MI06,U000031
Representative-elect,David,G.,Valadao,,1004 Longworth House Office Building,Washington,DC,20515-1703,CA21,V000129
The Honorable ,Chris,,Van Hollen,,1707 Longworth House Office Building,Washington,DC,20515-2008,MD08,V000128
Representative-elect,Juan,,Vargas,,1605 Longworth House Office Building,Washington,DC,20515-1406,CA51,V000130
Representative-elect,Marc,A.,Veasey,,414 Cannon House Office Building,Washington,DC,20515-1801,TX33,V000131
Representative-elect,Filemon,,Vela,,437 Cannon House Office Building,Washington,DC,20515-1902,TX34,V000132
The Honorable ,Nydia,M.,Velázquez,,2302 Rayburn House Office Building,Washington,DC,20515-3212,NY07,V000081
The Honorable ,Peter,J.,Visclosky,,2256 Rayburn House Office Building,Washington,DC,20515-1401,IN01,V000108
Representative-elect,Ann,,Wagner,,435 Cannon House Office Building,Washington,DC,20515-4312,MO02,W000812
The Honorable ,Tim,,Walberg,,2436 Rayburn House Office Building,Washington,DC,20515-2207,MI07,W000798
The Honorable ,Greg,,Walden,,2182 Rayburn House Office Building,Washington,DC,20515-3702,OR02,W000791
Representative-elect,Jackie,,Walorski,,419 Cannon House Office Building,Washington,DC,20515-0908,IN02,W000813
The Honorable ,Timothy,J.,Walz,,1034 Longworth House Office Building,Washington,DC,20515-2301,MN01,W000799
The Honorable ,Debbie,,Wasserman Schultz,,118 Cannon House Office Building,Washington,DC,20515-0920,FL23,W000797
The Honorable ,Maxine,,Waters,,2221 Rayburn House Office Building,Washington,DC,20515-0535,CA43,W000187
The Honorable ,Melvin,L.,Watt,,2304 Rayburn House Office Building,Washington,DC,20515-3312,NC12,W000207
The Honorable ,Henry,A.,Waxman,,2204 Rayburn House Office Building,Washington,DC,20515-0530,CA33,W000215
Representative-elect,Randy,K.,Weber,Sr.,510 Cannon House Office Building,Washington,DC,20515-1402,TX14,W000814
The Honorable ,Daniel,,Webster,,1039 Longworth House Office Building,Washington,DC,20515-0908,FL10,W000806
The Honorable ,Peter,,Welch,,2303 Rayburn House Office Building,Washington,DC,20515-4501,VT00,W000800
Representative-elect,Brad,R.,Wenstrup,,1223 Longworth House Office Building,Washington,DC,20515-3810,OH02,W000815
The Honorable ,Lynn,A.,Westmoreland,,2433 Rayburn House Office Building,Washington,DC,20515-1008,GA03,W000796
The Honorable ,Ed,,Whitfield,,2184 Rayburn House Office Building,Washington,DC,20515-1701,KY01,W000413
Representative-elect,Roger,,Williams,,1122 Longworth House Office Building,Washington,DC,20515-3209,TX25,W000816
The Honorable ,Frederica,S.,Wilson,,208 Cannon House Office Building,Washington,DC,20515-0917,FL24,W000808
The Honorable ,Joe,,Wilson,,2229 Rayburn House Office Building,Washington,DC,20515-4002,SC02,W000795
The Honorable ,Robert,J.,Wittman,,2454 Rayburn House Office Building,Washington,DC,20515-4601,VA01,W000804
